trial;game;d1;t1;t2;t3;c_p;d2;d3;s1;d4;d5;d6;s2;d7;d8;d9
1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;14;1;1.5050082791;1.5550082791;3.709025016;147;1;0;133.5071635572;1;-1;0;137.9102493283;107;0;0
3;14;1;1.3379081574;1.3879081574;3.4428928205;261;1;0;273.9635883056;1;-1;0;259.5502525123;116;0;0
4;14;1;1.17795008;1.22795008;4.045236692;318;1;0;305.0717335232;1;-1;0;309.4097609296;90;0;0
5;14;1;1.0997831826;1.1497831826;3.2181273314;54;1;0;50.0859081296;1;-1;0;62.0693741344;66;0;0
6;14;1;1.1740982938;1.2240982938;4.8291363075;174;1;0;171.4399390324;1;-1;0;181.2837901744;65;0;0
7;14;1;1.3500286185;1.4000286185;4.3645215993;237;1;0;215.3741687721;1;-1;0;272.5798412927;104;0;0
8;14;1;1.4893665812;1.5393665812;4.6014413738;315;1;0;314.3155504415;1;-1;0;309.2379421133;62;0;0
9;14;1;1.6826474541;1.7326474541;4.238928348;42;1;0;50.2702079784;1;-1;0;26.8045130754;79;0;0
10;14;1;1.2362828732;1.2862828732;4.54705264;111;1;0;121.1779230284;1;-1;0;84.4616903209;114;0;0
11;14;1;1.936711303;1.986711303;4.1950168965;225;1;0;224.6102172223;1;-1;0;222.9179895657;96;0;0
12;14;1;1.0184625918;1.0684625918;3.4721575288;285;1;0;289.557127934;1;-1;0;276.622921188;86;0;0
13;14;1;1.0479945871;1.0979945871;4.5783547933;81;1;0;68.7684864425;1;-1;0;78.461371995;106;0;0
14;14;1;1.3341270797;1.3841270797;4.6188829343;165;1;0;142.8835990691;1;-1;0;170.8275565445;119;0;0
15;14;1;1.1939604688;1.2439604688;4.9481795018;201;1;0;171.9864633252;1;-1;0;168.295543066;72;0;0
16;14;1;1.0509719728;1.1009719728;4.3429624454;294;1;0;299.6837025526;1;-1;0;300.8100018943;108;0;0
17;14;1;1.7812049564;1.8312049564;4.4357968014;75;1;0;79.404249328;1;-1;0;87.1745028307;73;0;0
18;14;1;1.0097313055;1.0597313055;4.9245067159;105;1;0;94.3037965843;1;-1;0;102.8141701468;85;0;0
19;14;1;1.4940535338;1.5440535338;4.0632643748;210;1;0;242.8040881766;1;-1;0;196.8108384847;70;0;0
20;14;1;1.902454871;1.952454871;5.4557592668;342;1;0;339.3603399774;1;-1;0;325.2376549363;109;0;0
21;14;1;1.1080499282;1.1580499282;4.3345139336;45;1;0;70.8769632081;1;-1;0;84.1687112041;120;0;0
22;14;1;1.8153640039;1.8653640039;4.7647139295;171;1;0;179.4281150576;1;-1;0;153.1582605742;80;0;0
23;14;1;1.5724228888;1.6224228888;4.2984565757;216;1;0;210.8254531945;1;-1;0;234.6293806148;113;0;0
24;14;1;1.3780428506;1.4280428506;4.1291994347;309;1;0;309.3652379443;1;-1;0;319.3328577269;68;0;0
25;14;1;1.2780510613;1.3280510613;5.1813878081;66;1;0;52.4947107568;1;-1;0;79.9947377961;118;0;0
26;14;1;1.734214406;1.784214406;4.6221970438;123;1;0;125.3154726554;1;-1;0;97.9072640302;92;0;0
27;14;1;1.766139108;1.816139108;4.6715720081;240;1;0;238.8805492537;1;-1;0;241.3651190845;93;0;0
28;14;1;1.3633258149;1.4133258149;3.8592639197;288;1;0;276.4986141641;1;-1;0;288.3867801499;77;0;0
29;14;1;1.373060704;1.423060704;4.4506512712;6;1;0;30.4115461677;1;-1;0;14.5684121442;97;0;0
30;14;1;1.9525598343;2.0025598343;5.5000722392;126;1;0;132.4221109791;1;-1;0;102.4053328314;78;0;0
31;14;1;1.5696736744;1.6196736744;3.7656444604;186;1;0;183.1667835584;1;-1;0;187.6917810782;101;0;0
32;14;1;1.491501224;1.541501224;5.0552044324;339;1;0;322.3974518986;1;-1;0;322.0261969451;87;0;0
33;14;1;1.2850593515;1.3350593515;5.2602329833;51;1;0;60.0494104926;1;-1;0;57.0107341902;100;0;0
34;14;1;1.8844148312;1.9344148312;4.9220655618;138;1;0;125.0888521891;1;-1;0;171.1341931283;74;0;0
35;14;1;1.2681046755;1.3181046755;4.8025100091;222;1;0;211.4079973833;1;-1;0;221.9080590732;99;0;0
36;14;1;1.8662121436;1.9162121436;5.6528032755;330;1;0;338.4745487656;1;-1;0;349.2709010197;64;0;0
37;14;1;1.5353991324;1.5853991324;4.2299129741;3;1;0;7.3631116862;1;-1;0;-9.3812699877;67;0;0
38;14;1;1.4505196558;1.5005196558;4.4656165263;96;1;0;88.0126462777;1;-1;0;101.7252590094;88;0;0
39;14;1;1.7497424772;1.7997424772;5.576699964;258;1;0;263.3985198609;1;-1;0;266.7772103994;103;0;0
40;14;1;1.804391735;1.854391735;5.2553232903;333;1;0;339.4302920096;1;-1;0;348.454391196;111;0;0
41;14;1;1.4689718813;1.5189718813;5.0809131753;24;1;0;33.8581209226;1;-1;0;23.565574364;81;0;0
42;14;1;1.534613749;1.584613749;5.3504660504;153;1;0;124.610619589;1;-1;0;148.3931921931;82;0;0
43;14;1;1.7202673969;1.7702673969;5.6179893373;270;1;0;262.4411756664;1;-1;0;271.1367254417;95;0;0
44;14;1;1.9907669476;2.0407669476;5.2591227253;336;1;0;345.3244201591;1;-1;0;322.9426216688;110;0;0
45;14;1;1.2992017812;1.3492017812;3.3861071751;12;1;0;7.8598440249;1;-1;0;-11.7962749228;89;0;0
46;14;1;1.8169322365;1.8669322365;5.4538536686;177;1;0;168.7686335153;1;-1;0;177.7706573359;112;0;0
47;14;1;1.9931036592;2.0431036592;4.5761551877;246;1;0;261.9659442834;1;-1;0;256.6375735836;63;0;0
48;14;1;1.7339988416;1.7839988416;3.90067607;273;1;0;266.6349825627;1;-1;0;279.983098926;69;0;0
49;14;1;1.4543229921;1.5043229921;5.3883719383;90;1;0;105.454391196;1;-1;0;88.6520630916;117;0;0
50;14;1;1.622382697;1.672382697;5.2022953843;93;1;0;91.5502525123;1;-1;0;102.6537545931;75;0;0
51;14;1;1.4596917285;1.5096917285;3.6458774891;219;1;0;240.1864209472;1;-1;0;238.6590722056;98;0;0
52;14;1;1.5546366684;1.6046366684;4.0501366939;306;1;0;310.8013612001;1;-1;0;316.626802907;71;0;0
53;14;1;1.7593807727;1.8093807727;4.5202944555;18;1;0;8.8820497247;1;-1;0;46.0465593932;83;0;0
54;14;1;1.845575399;1.895575399;5.6490460485;150;1;0;141.3841874662;1;-1;0;127.2764703439;102;0;0
55;14;1;1.2951083679;1.3451083679;3.5077217984;183;1;0;211.8673368022;1;-1;0;149.1478186509;61;0;0
56;14;1;1.8651954494;1.9151954494;4.8077629089;354;1;0;358.0917480519;1;-1;0;346.2567203657;76;0;0
57;14;1;1.130015099;1.180015099;4.7953986309;30;1;0;30.6687679247;1;-1;0;28.0738443275;84;0;0
58;14;1;1.0047153945;1.0547153945;4.4053001296;117;1;0;134.9706476139;1;-1;0;128.7103422331;105;0;0
59;14;1;1.3001102221;1.3501102221;3.4789710529;243;1;0;213.5740216143;1;-1;0;240.5633710459;91;0;0
60;14;1;1.8379138284;1.8879138284;5.1004737287;276;1;0;296.3616494821;1;-1;0;271.2717344827;115;0;0
61;14;1;1.6143961167;1.6643961167;4.5936944193;63;1;0;59.9451080893;1;-1;0;70.69232526;94;0;0
