trial;game;d1;t1;t2;t3;c_p;d2;d3;s1;d4;d5;d6;s2;d7;d8;d9
0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;14;1;1.5050082791;1.5550082791;3.709025016;147;1;0;155.0865716575;1;-1;0;141.7096477468;107;0;0
2;14;1;1.3379081574;1.3879081574;3.4428928205;261;1;0;256.0410984212;1;-1;0;261.2627927571;116;0;0
3;14;1;1.17795008;1.22795008;4.045236692;318;1;0;314.2519476014;1;-1;0;315.5395420694;90;0;0
4;14;1;1.0997831826;1.1497831826;3.2181273314;54;1;0;65.8079790086;1;-1;0;61.5678023107;66;0;0
5;14;1;1.1740982938;1.2240982938;4.8291363075;174;1;0;163.7478683321;1;-1;0;177.1097308659;65;0;0
6;14;1;1.3500286185;1.4000286185;4.3645215993;237;1;0;235.1354858442;1;-1;0;257.6363179426;104;0;0
7;14;1;1.4893665812;1.5393665812;4.6014413738;315;1;0;311.9962951905;1;-1;0;316.6581950098;62;0;0
8;14;1;1.6826474541;1.7326474541;4.238928348;42;1;0;40.740468117;1;-1;0;38.2078396264;79;0;0
9;14;1;1.2362828732;1.2862828732;4.54705264;111;1;0;120.6763512047;1;-1;0;106.0410984212;114;0;0
10;14;1;1.936711303;1.986711303;4.1950168965;225;1;0;218.4503760005;1;-1;0;231.2428975971;96;0;0
11;14;1;1.0184625918;1.0684625918;3.4721575288;285;1;0;305.6363179426;1;-1;0;273.3105410748;86;0;0
12;14;1;1.0479945871;1.0979945871;4.5783547933;81;1;0;72.567884861;1;-1;0;67.8056449583;106;0;0
13;14;1;1.3341270797;1.3841270797;4.6188829343;165;1;0;167.1641907583;1;-1;0;163.1354858442;119;0;0
14;14;1;1.1939604688;1.2439604688;4.9481795018;201;1;0;180.8390053232;1;-1;0;189.3249391486;72;0;0
15;14;1;1.0509719728;1.1009719728;4.3429624454;294;1;0;299.0303998838;1;-1;0;293.1888864118;108;0;0
16;14;1;1.7812049564;1.8312049564;4.4357968014;75;1;0;82.48602293;1;-1;0;84.6763512047;73;0;0
17;14;1;1.0097313055;1.0597313055;4.9245067159;105;1;0;91.8056449583;1;-1;0;101.9962951905;85;0;0
18;14;1;1.4940535338;1.5440535338;4.0632643748;210;1;0;222.9320311188;1;-1;0;199.8926120867;70;0;0
19;14;1;1.902454871;1.952454871;5.4557592668;342;1;0;347.6852480088;1;-1;0;337.7657720565;109;0;0
20;14;1;1.1080499282;1.1580499282;4.3345139336;45;1;0;59.6631447977;1;-1;0;66.2462213197;120;0;0
21;14;1;1.8153640039;1.8653640039;4.7647139295;171;1;0;172.1078337222;1;-1;0;150.8390053232;80;0;0
22;14;1;1.5724228888;1.6224228888;4.2984565757;216;1;0;225.2393221479;1;-1;0;221.6852480088;113;0;0
23;14;1;1.3780428506;1.4280428506;4.1291994347;309;1;0;293.1222736224;1;-1;0;323.6631447977;68;0;0
24;14;1;1.2780510613;1.3280510613;5.1813878081;66;1;0;56.8249978276;1;-1;0;60.0292289602;118;0;0
25;14;1;1.734214406;1.784214406;4.6221970438;123;1;0;131.4452537952;1;-1;0;107.1222736224;92;0;0
26;14;1;1.766139108;1.816139108;4.6715720081;240;1;0;248.0955588459;1;-1;0;229.0984099453;93;0;0
27;14;1;1.3633258149;1.4133258149;3.8592639197;288;1;0;278.7547458492;1;-1;0;297.2393221479;77;0;0
28;14;1;1.373060704;1.423060704;4.4506512712;6;1;0;22.8587963207;1;-1;0;1.7745649729;97;0;0
29;14;1;1.9525598343;2.0025598343;5.5000722392;126;1;0;129.1097308659;1;-1;0;117.567884861;78;0;0
30;14;1;1.5696736744;1.6196736744;3.7656444604;186;1;0;176.4284103401;1;-1;0;184.740468117;101;0;0
